App,Category,Description,Auth,Self-Serve,Self-Serve Detail,API Type,MCP,Buildability,Blocker,Evidence,SDK,Rate Limits,Webhooks,Sandbox,Format,Confidence,app_id
Salesforce,CRM and Sales,AI-powered customer relationship management platform bringing companies and customers together.,"OAuth2, JWT, Session",Free trial then paid,Not found in docs,"REST, SOAP (Broad (100+ endpoints))",No,Ready,Not found in docs,"<a href=""https://www.salesforce.com/in/"" target=""_blank"" class=""text-blue-600 hover:underline"">www.salesforce.com/in/...</a>","Python, JavaScript, Java, Ruby, PHP, C#",Not documented,Yes,Yes,JSON,HIGH,1
HubSpot,CRM and Sales,"Smart CRM platform providing APIs, tools, and developer resources to build business applications.","OAuth2, API Key",Self-serve free,Developers can sign up and access developer tools and documentation for free.,REST (Broad (100+ endpoints)),No,Ready,Not found in docs,"<a href=""https://developers.hubspot.com/"" target=""_blank"" class=""text-blue-600 hover:underline"">developers.hubspot.com/...</a>","Python, JavaScript, PHP, Ruby, Java, Go",Varies by plan,Yes,Yes,JSON,HIGH,2
Pipedrive,CRM and Sales,Sales CRM and pipeline management platform with developer API for building integrations.,"OAuth2, API Key",Free trial then paid,Developers can sign up for a Sandbox account and access developer tools freely.,REST (Broad (100+ endpoints)),No,Ready,None,"<a href=""https://developers.pipedrive.com/"" target=""_blank"" class=""text-blue-600 hover:underline"">developers.pipedrive.com/...</a>","JavaScript, PHP, Python, .NET, Ruby",Not documented,Yes,Yes,JSON,HIGH,3
Attio,CRM and Sales,"Revolutionary highly customizable, powerful, and data-driven CRM platform.",Other,Not found in docs,Not found in docs,REST (Not found in docs),Yes,Ready,,"<a href=""/llms.txt"" target=""_blank"" class=""text-blue-600 hover:underline"">/llms.txt...</a>",TypeScript,Not documented,Yes,No,JSON,HIGH,4
Twenty,CRM and Sales,"An open-source, production-ready CRM you can reshape as you go.",Other,Open source / no auth needed,"Twenty is an open-source CRM that can be set up in under 5 minutes, either via cloud or self-hosted.",REST (Medium (20-100 endpoints)),No,Ready,Not found in docs,"<a href=""https://twenty.com"" target=""_blank"" class=""text-blue-600 hover:underline"">twenty.com...</a>","TypeScript, JavaScript",Not documented,No,No,JSON,HIGH,5
Podio,CRM and Sales,Customizable work management and collaboration platform for teams.,"OAuth2, API Key",Yes,Developers can sign up for a Podio account and register API keys directly through the developer portal.,REST (High (100+ endpoints)),No,Easy,None,"<a href=""https://podio.com"" target=""_blank"" class=""text-blue-600 hover:underline"">podio.com...</a>, <a href=""https://developer.podio.com"" target=""_blank"" class=""text-blue-600 hover:underline"">developer.podio.com...</a>","PHP, Ruby, Python, JavaScript, C#","Documented (e.g., hourly and daily request limits per app/user)",Yes,No,JSON,HIGH,6
Zoho CRM,CRM and Sales,"Cloud-based CRM software to manage leads, contacts, deals, and automate sales workflows.",OAuth2,Free trial then paid,Sign up for free developer account with access to trial and tiered plans.,REST (Broad (100+ endpoints)),"<a href=""https://www.zoho.com/developer/"" target=""_blank"" class=""text-blue-600"">Yes</a>",Ready,None found,"<a href=""https://www.zoho.com/developer/"" target=""_blank"" class=""text-blue-600 hover:underline"">www.zoho.com/developer/...</a>","Python, JavaScript, Java, PHP, Ruby, C#",Varies by plan,Yes,Yes,combination,HIGH,7
Close,CRM and Sales,"Sales CRM platform enabling automation, data syncing, outreach, and AI agent integration.","API Key, OAuth2",Self-serve paid,Available for Close customers automating their sales process or partners building integrations.,REST (Broad (100+ endpoints)),"<a href=""https://developer.close.com/"" target=""_blank"" class=""text-blue-600"">Yes</a>",Ready,,"<a href=""https://developer.close.com/"" target=""_blank"" class=""text-blue-600 hover:underline"">developer.close.com/...</a>","Python, Node.js, Ruby, PHP, Go",Not documented,Yes,No,JSON,HIGH,8
Copper,CRM and Sales,Access and build custom applications that interact with Copper CRM data.,Not found in docs,Not found in docs,Not found in docs,REST (Not found in docs),No,Ready,,"<a href=""https://developer.copper.com/"" target=""_blank"" class=""text-blue-600 hover:underline"">developer.copper.com/...</a>",None found,Not documented,No,No,JSON,HIGH,9
DealCloud,CRM and Sales,"Manage CRM data, entries, fields, files, and users via DealCloud API.","API Key, Bearer Token, OAuth2",Partner/contact-sales only,Not found in docs,REST (Broad (100+ endpoints)),Yes,Ready,None,"<a href=""api.docs.dealcloud.com"" target=""_blank"" class=""text-blue-600 hover:underline"">api.docs.dealcloud.com...</a>","Python, C#",Not documented,Yes,No,JSON,HIGH,10
